"월별(1)",2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019
"월별(1)",출생 (명),출생 (명),출생 (명),사망 (명),사망 (명),사망 (명),혼인 (건),이혼 (건),출생 (명),출생 (명),출생 (명),사망 (명),사망 (명),사망 (명),혼인 (건),이혼 (건),출생 (명),출생 (명),출생 (명),사망 (명),사망 (명),사망 (명),혼인 (건),이혼 (건)
"월별(1)",계,남,여,계,남,여,계,계,계,남,여,계,남,여,계,계,계,남,여,계,남,여,계,계
"계",21480,11069,10411,21434,11704,9730,15677,6651,19152,9840,9312,22570,12349,10221,14781,6678,17049,8735,8314,22260,12198,10062,13780,6787
"1월",2080,1037,1043,1916,1019,897,1547,454,1863,975,888,2450,1253,1197,1471,606,1650,838,812,2161,1183,978,1300,555
"2월",1842,940,902,1770,932,838,1387,578,1677,881,796,1826,1008,818,1105,508,1469,745,724,1717,956,761,1051,511
"3월",1992,1033,959,1796,973,823,1328,675,1794,941,853,1855,1002,853,1245,565,1553,798,755,1861,1007,854,1113,535
"4월",1818,936,882,1712,889,823,1163,497,1668,876,792,1842,1045,797,1159,518,1474,750,724,1782,966,816,1164,609
"5월",1833,961,872,1745,937,808,1642,622,1647,877,770,1867,1041,826,1416,554,1456,754,702,1870,1044,826,1316,643
"6월",1786,959,827,1571,898,673,1311,545,1659,835,824,1733,964,769,1219,522,1360,643,717,1723,975,748,1103,543
"7월",1689,862,827,1669,943,726,1134,510,1522,726,796,1792,1002,790,1145,577,1369,740,629,1799,967,832,1041,536
"8월",1779,893,886,1759,976,783,1248,588,1597,813,784,1736,946,790,1191,556,1392,703,689,1789,979,810,1067,565
"9월",1787,923,864,1685,947,738,1020,611,1476,763,713,1783,1023,760,805,468,1335,693,642,1661,940,721,861,536
"10월",1761,900,861,1838,1028,810,940,495,1525,792,733,1926,1084,842,1253,634,1430,717,713,1950,1065,885,1133,612
"11월",1603,847,756,1860,1043,817,1417,587,1439,732,707,1776,927,849,1253,655,1321,683,638,1934,1065,869,1181,550
"12월",1510,778,732,2113,1119,994,1540,489,1285,629,656,1984,1054,930,1519,515,1240,671,569,2013,1051,962,1450,592
